Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2013,Penn State,5,2,242,142,100,34.5714285714286,20.2857142857143,96587.4285714286
2013,Wisconsin,6,1,271,67,204,38.7142857142857,9.57142857142857,78911.1428571429
2014,Illinois,5,2,197,192,5,28.1428571428571,27.4285714285714,41548.8571428571
2014,Indiana,3,3,203,146,57,33.8333333333333,24.3333333333333,41656.8333333333
2014,Michigan State,6,1,318,120,198,45.4285714285714,17.1428571428571,74680.7142857143
2014,Nebraska,6,1,273,142,131,39,20.2857142857143,91249.1428571429
2014,Penn State,3,4,214,117,97,30.5714285714286,16.7142857142857,101622.571428571
2014,Rutgers,4,2,187,,,31.1666666666667,,50631.8333333333
2014,Wisconsin,6,0,256,89,167,42.6666666666667,14.8333333333333,79350.5
2015,Illinois,4,2,182,73,109,30.3333333333333,12.1666666666667,42647.1666666667
2015,Indiana,3,4,269,276,-7,38.4285714285714,39.4285714285714,44313.5714285714
2015,Michigan State,7,0,251,129,122,35.8571428571429,18.4285714285714,74661.1428571429
2015,Nebraska,3,4,220,189,31,31.4285714285714,27,89997.5714285714
2015,Penn State,6,1,196,87,109,28,12.4285714285714,99798.5714285714
2015,Rutgers,2,5,277,181,96,39.5714285714286,25.8571428571429,47723
2015,Wisconsin,5,2,318,23,295,45.4285714285714,3.28571428571429,78014.1428571429
2016,Illinois,2,5,192,,,27.4285714285714,,45635
2016,Indiana,4,3,203,206,-3,29,29.4285714285714,43027.1428571429
2016,Michigan State,2,5,233,147,86,33.2857142857143,21,74666.5714285714
2016,Nebraska,7,0,240,113,127,34.2857142857143,16.1428571428571,90200.2857142857
2016,Penn State,7,0,244,127,117,34.8571428571429,18.1428571428571,100257.142857143
2016,Rutgers,2,5,376,,,53.7142857142857,,44804.1428571429
2016,Wisconsin,5,1,202,94,108,33.6666666666667,15.6666666666667,79357.3333333333
2017,Illinois,2,5,228,121,107,32.5714285714286,17.2857142857143,39416.1428571429
2017,Indiana,3,3,178,138,40,29.6666666666667,23,43952.5
2017,Michigan State,6,1,159,112,47,22.7142857142857,16,72485.4285714286
2017,Nebraska,2,5,156,255,-99,22.2857142857143,36.4285714285714,89797.5714285714
2017,Penn State,6,0,277,78,199,46.1666666666667,13,106020.5
2017,Rutgers,3,4,267,,,38.1428571428572,,39784.8571428571
2017,Wisconsin,7,0,240,94,146,34.2857142857143,13.4285714285714,78823.7142857143
2018,Illinois,3,3,281,,,46.8333333333333,,36151.1666666667
2018,Indiana,3,4,178,196,-18,25.4285714285714,28,40964.7142857143
2018,Michigan State,4,3,259,110,149,37,15.7142857142857,72584
2018,Nebraska,4,2,295,,,49.1666666666667,,88897.8333333333
2018,Penn State,5,2,241,133,108,34.4285714285714,19,105485.142857143
2018,Wisconsin,5,2,236,139,97,33.7142857142857,19.8571428571429,77153.1428571429
