POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,POSTSEASON RATINGS,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,TOP TEN GAMESViewership is TV-only,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,WEEKLY CFB RATINGS,Year
,,,,,,,,,,,,,,,,1.1,(1.939M),ArizonaUSC,Pac-12,"Nov. 4, 10:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.2,1.903M,Wake ForestNotre Dame,ACCInd.,"Nov. 4, 3:30 PM",NBC,2017
,,,,,,,,,,,,,,,,1.1,(1.897M),TexasTCU,Big 12,"Nov. 4, 7:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.738M),College GamedayFrom Oklahoma-Okla. St.,College GamedayFrom Oklahoma-Okla. St.,"Nov. 4, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.114M),CFP Rankings Show,CFP Rankings Show,"Oct. 31, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.51,986K,OregonWashington,Pac-12,"Nov. 4, 10:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.50,(876K),Iowa St.W. Virginia,Big 12,"Nov. 4, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.48,(793K),FloridaMissouri,SEC,"Nov. 4, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.51,(758K),NavyTemple,American,"Nov. 2, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(683K),MemphisTulsa,American,"Nov. 3, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,563K,UCLAUtah,Pac-12,"Nov. 3, 10:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.35,540K,K-StateTexas Tech,Big 12,"Nov. 4, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.22,(369K),UCFSMU,American,"Nov. 4, 7:15 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.20,(324K),BYUFresno St.,Ind.MWC,"Nov. 4, 10:45 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(276K),Miami (Ohio)Ohio,MAC,"Oct. 31, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(216K),C. MichiganW. Michigan,MAC,"Nov. 1, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(156K),No. IllinoisToledo,MAC,"Nov. 2, 6:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(143K),NevadaBoise St.,MWC,"Nov. 4, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(130K),IdahoTroy,Sun Belt,"Nov, 2, 9:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(83K),SDSUSJSU,MWC,"Nov. 4, 10:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(82K),WKUVanderbilt,C-USASEC,"Nov, 4, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(74K),USFUConn,American,"Nov. 4, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(70K),Bowl. GreenKent State,MAC,"Oct. 31, 8:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,UTEPMid. Tenn. St.,C-USA,"Nov. 4, 7:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,WEEK NINE,2017
,,,,,,,,,,,,,,,,5.75,9.868M(9.972M),Penn StateOhio State,Big Ten,"Oct. 28, 3:30 PM",FOX,2017
,,,,,,,,,,,,,,,,2.0,3.464M(3.550M),GT-CLEM orTTU-OU,ACCBig 12,"Oct. 28, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.0,3.380M,GeorgiaFlorida,SEC,"Oct. 28, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,2.2,3.365M,Oklahoma StateW. Virginia,Big 12,"Oct. 28, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.8,2.850M,TCU-Iowa St. orUCLA-Washington,Big 12Pac-12,"Oct. 28, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.6,2.625M,N.C. StateNotre Dame,ACCInd.,"Oct. 28, 3:30 PM",NBC,2017
,,,,,,,,,,,,,,,,1.2,(1.927M),WisconsinIllinois,Big Ten,"Oct. 28, Noon",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.812M),College GamedayFrom Ohio St.-Penn St.,College GamedayFrom Ohio St.-Penn St.,"Nov. 4, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,0.9,(1.640M),Mississippi St.Texas A&M,SEC,"Oct. 28, 7:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.9,(1.419M),MiamiUNC,ACC,"Oct. 28, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.9,(1.397M),FSUBoston College,ACC,"Oct. 27, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.8,(1.381M),USCArizona St.,Pac-12,"Oct. 28, 10:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.162M),StanfordOregon St.,Pac-12,"Oct. 26, 9:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.7,(1.117M),Michigan St.Northwestern,Big Ten,"Oct. 28, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.42,769K,MinnesotaIowa,Big Ten,"Oct. 28, 6:30 PM",FS1,2017
,,,,,,,,,,,,,,,,0.38,(645K),ABC reverse mirror,ABC reverse mirror,"Oct. 28, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(601K),TexasBaylor,Big 12,"Oct. 28, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(568K),CFP Rankings Show,CFP Rankings Show,"Oct. 24, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.24,(365K),ABC reverse mirror,ABC reverse mirror,"Oct. 28, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.20,323K,K-StateKansas,Big 12,"Oct. 28, 3:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(225K),TulsaSMU,American,"Oct. 27, 9:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(177K),HoustonUSF,American,"Oct. 28, 3:45 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(130K),So. AlabamaGa. State,Sun Belt,"Oct. 26, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(82K),New MexicoWyoming,MWC,"Oct. 28, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,WEEK EIGHT,2017
,,,,,,,,,,,,,,,,3.9,6.954M(7.090M),MichiganPenn State,Big Ten,"Oct. 21, 7:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.8,4.446M,TennesseeAlabama,SEC,"Oct. 21, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,2.5,3.829M(3.923M),Oklahoma St.Texas,Big 12,"Oct. 21, Noon",ABC,2017
,,,,,,,,,,,,,,,,2.2,3.501M(3.547M),IndianaMichigan St.,Big Ten,"Oct. 21, 3:45 PM",ABC,2017
,,,,,,,,,,,,,,,,1.9,3.000M,OklahomaK-State,Big 12,"Oct. 21, 4:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.8,2.988M,USCNotre Dame,Pac-12Ind.,"Oct. 21, 7:30 PM",NBC,2017
,,,,,,,,,,,,,,,,1.7,(2.580M),LouisvilleFSU,ACC,"Oct. 21, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.3,(2.093M),SyracuseMiami,ACC,"Oct. 21, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.1,(1.891M),LSUMississippi,SEC,"Oct. 21, 7:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.842M),College GamedayFrom Michigan-Penn St.,College GamedayFrom Michigan-Penn St.,"Oct. 21, 9:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,1.495M,MarylandWisconsin,Big Ten,"Oct. 21, Noon",FOX,2017
,,,,,,,,,,,,,,,,0.8,(1.392M),ColoradoWashington St.,Pac-12,"Oct. 21, 10:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.7,1.191M,KansasTCU,Big 12,"Oct. 21, 8:00 PM",FOX,2017
,,,,,,,,,,,,,,,,0.5,(813K),IowaNorthwestern,Big Ten,"Oct. 21, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.38,(565K),MemphisHouston,American,"Oct. 19, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.32,(546K),North CarolinaVa. Tech,ACC,"Oct. 21, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(475K),CFP Rankings Show,CFP Rankings Show,"Oct. 17, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(453K),MarshallMid. Tenn.,C-USA,"Oct. 20, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.26,(414K),WyomingBoise St.,MWC,"Oct. 21, 10:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(391K),Colorado St.New Mexico,MWC,"Oct. 20, 10:20 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.25,387K,Arizona St.Utah,Pac-12,"Oct. 21, 3:29 PM",FS1,2017
,,,,,,,,,,,,,,,,0.18,325K,W. VirginiaBaylor,Big 12,"Oct. 21, 8:00 PM",FS2,2017
,,,,,,,,,,,,,,,,0.21,307K,Iowa St.Texas Tech,Big 12,"Oct. 21, Noon",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(284K),USFTulane,American,"Oct. 21, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(200K),Wake ForestGa. Tech,ACC,"Oct. 21, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(102K),SMUCincinnati,American,"Oct. 21, 4:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(72K),UL-LafayetteArk. State,Sun Belt,"Oct. 19, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(70K),TulsaUConn,American,"Oct. 21, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,UABCharlotte,C-USA,"Oct. 21, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,WEEK SEVEN,2017
,,,,,,,,,,,,,,,,2.7,4.122M(4.210M),MichiganIndiana,Big Ten,"Oct. 14, Noon",ABC,2017
,,,,,,,,,,,,,,,,2.2,(3.866M),ArkansasAlabama,SEC,"Oct. 14, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.1,(3.619M),OklahomaTexas,Big 12,"Oct. 14, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.25,3.595M,AuburnLSU,SEC,"Oct. 14, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,2.1,3.380M(3.441M),Ga. TechMiami,ACC,"Oct. 14, 4:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.0,3.192M(3.236M),UtahUSC,Pac-12,"Oct. 14, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,1.7,(2.853M),ClemsonSyracuse,ACC,"Oct. 13, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.7,(2.532M),S. CarolinaTennessee,SEC,"Oct. 14, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.3,2.375M(2.417M),Ohio StateNebraska,Big Ten,"Oct. 14, 7:30 PM",FS1,2017
,,,,,,,,,,,,,,,,1.4,(2.277M),WashingtonArizona St.,Pac-12,"Oct. 14, 10:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.4,(2.261M),Washington St.Cal,Pac-12,"Oct. 13, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.2,(2.112M),Texas A&MFlorida,SEC,"Oct. 14, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(1.884M),College GamedayFrom James Madison,College GamedayFrom James Madison,"Oct. 7, 9 AM",ESPN,2017
,,,,,,,,,,,,,,,,0.6,(894K),FSUDuke,ACC,"Oct. 14, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(839K),Texas TechW. Virginia,Big 12,"Oct. 14, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,0.38,700K,OregonStanford,Pac-12,"Oct. 14, 11:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(631K),CFP Rankings Show,CFP Rankings Show,"Oct. 10, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.36,568K,TCUK-State,Big 12,"Oct. 14, 3:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.29,(431K),NorthwesternMaryland,Big Ten,"Oct. 14, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.27,(421K),NevadaColorado St.,MWC,"Oct. 14, 10:45 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,299K,BaylorOklahoma St.,Big 12,"Oct. 14, 5:50 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(295K),NavyMemphis,American,"Oct. 14, 3:45 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(173K),CincinnatiUSF,American,"Oct. 14, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(153K),Texas St.UL-Lafayette,Sun Belt,"Oct. 12, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,n.a.,UABCharlotte,C-USA,"Oct. 14, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,WEEK SIX,2017
,,,,,,,,,,,,,,,,3.7,6.508M(6.628M),Michigan StateMichigan,Big Ten,Oct. 7 7:30 PM,ABC,2017
,,,,,,,,,,,,,,,,2.7,(4.774M),AlabamaTexas A&M,SEC,"Oct. 7, 7:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,2.5,4.128M,LSUFlorida,SEC,"Oct. 7, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.9,2.831M(2.887M),Penn StateNorthwestern,Big Ten,"Oct. 7, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.7,(2.726M),MiamiFSU,ACC,"Oct. 7, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.6,2.645M,MarylandOhio State,Big Ten,"Oct. 7, 4:00 PM",FOX,2017
,,,,,,,,,,,,,,,,1.6,2.505M,Notre DameUNC,Ind.ACC,"Oct. 7, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.6,2.432M,Iowa StateOklahoma,Big 12,"Oct. 7, Noon",FOX,2017
,,,,,,,,,,,,,,,,1.3,(1.958M),GeorgiaVanderbilt,SEC,"Oct. 7, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.15,1.922M,Washington St.Oregon,Pac-12,"Oct. 7, 8:00 PM",FOX,2017
,,,,,,,,,,,,,,,,n.a.,(1.644M),College GamedayFrom WVU-TCU,College GamedayFrom WVU-TCU,"Oct. 7, 9 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,(1.634M),CalWashington,Pac-12,"Oct. 7, 10:45 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,(1.549M),LouisvilleN.C. State,ACC,"Oct. 5, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.7,1.266M,K-StateTexas,Big 12,"Oct. 7, 7:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.7,1.149M,W. VirginiaTCU,Big 12,"Oct. 7, 3:30 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,(1.043M),Boise StateBYU,MWCInd.,"Oct. 6, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.6,(864K),Wake ForestClemson,ACC,"Oct. 7, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(769K),MemphisUConn,American,"Oct. 6, 7 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.39,631K,StanfordUtah,Pac-12,"Oct. 7, 11:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.39,(586K),MinnesotaPurdue,Big Ten,"Oct. 7, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.27,(458K),Va. TechBoston Coll.,ACC,"Oct. 7, 7:15 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(421K),Arkansas St.Ga. Southern,Sun Belt,"Oct. 4, 8 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.25,351K,Texas TechKansas,Big 12,"Oct. 7, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.21,(344K),SDSUUNLV,MWC,"Oct. 7, 10:45 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(131K),UCFCincinnati,American,"Oct. 7, 8 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(90K),W. MichiganBuffalo,MAC,"Oct. 7, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(61K),TempleECU,American,"Oct. 7, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,10K,ArmyRice,Ind.C-USA,"Oct. 7, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,WEEK FIVE,2017
,,,,,,,,,,,,,,,,2.7,4.613M(4.693M),ClemsonVa. Tech,ACC,"Sept. 30, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.4,3.950M,GeorgiaTennessee,SEC,"Sept. 30, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.8,(3.028M),MississippiAlabama,SEC,"Sept. 30, 9:15 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.9,2.894M(2.955M),FSUWake Forest,ACC,"Sept. 30, 3:30 PM",ABC,2017
,,,,,,,,,,,,,,,,1.9,2.844M(2.890M),NorthwesternWisconsin,Big Ten,"Sept. 30, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.8,(2.815M),VanderbiltFlorida,SEC,"Sept. 30, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.8,(2.776M),USCWashington St.,Pac-12,"Sept. 29, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.6,2.685M,Oklahoma St.Texas Tech,Big 12,"Sept. 30, 8:00 PM",FOX,2017
,,,,,,,,,,,,,,,,1.5,2.520M,IowaMichigan St.,Big Ten,"Sept. 30, 4:30 PM",FOX,2017
,,,,,,,,,,,,,,,,1.4,(2.383M),Mississippi St.Auburn,SEC,"Sept. 30, 6:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.1,(1.709M),MiamiDuke,ACC,"Sept. 29, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,(1.651M),TexasIowa State,Big 12,"Sept. 28, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(1.498M),College GamedayFrom Clemson-VT,College GamedayFrom Clemson-VT,"Sept. 30, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.55,1.071M,NebraskaIllinois,Big Ten,"Sept. 29, 8:00 PM",FS1,2017
,,,,,,,,,,,,,,,,0.6,(1.039M),ColoradoUCLA,Pac-12,"Sept. 30, 10:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.6,(988K),ESPN Goal Line,ESPN Goal Line,"Sept. 30, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,(856K),TroyLSU,Sun BeltSEC,"Sept. 30, 7:00 PM",ESPNU,2017
,,,,,,,,,,,,,,,,0.49,798K,Miami (Oh.)Notre Dame,MACInd.,"Sept. 30, 5:00 PM",NBCSN,2017
,,,,,,,,,,,,,,,,0.43,(670K),BaylorK-State,Big 12,"Sept. 30, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.35,649K,CalOregon,Pac-12,"Sept. 30, 10:30 PM",FS1,2017
,,,,,,,,,,,,,,,,0.39,(578K),UNCGa. Tech,ACC,"Sept. 30, Noon",ESPN2,2017
,,,,,,,,,,,,,,,,0.33,511K,MarylandMinnesota,Big Ten,"Sept. 30, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.27,(442K),MemphisUCF,American,"Sept. 30, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,(251K),NavyTulsa,American,"Sept. 30, 3:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(209K),HoustonTemple,American,"Sept. 30, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,(106K),San Jose St.UNLV,MWC,"Sept. 30, 10:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,4K,CharlotteFIU,American,"Sept. 30, 7:00 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,WEEK FOUR,2017
,,,,,,,,,,,,,,,,3.1,5.259M(5.341M),Penn StateIowa,Big Ten,"Sept. 23, 7:30 PM",ABC,2017
,,,,,,,,,,,,,,,,2.5,3.749M(3.850M),NCSU-FSU orTTU-Houston,ACCB12/AAC,"Sept. 23, Noon",ABC,2017
,,,,,,,,,,,,,,,,2.2,3.521M,MichiganPurdue,Big Ten,"Sept. 23, 4:30 PM",FOX,2017
,,,,,,,,,,,,,,,,2.1,3.456M,Notre DameMichigan St.,Ind.Big Ten,"Sept. 23, 8:20 PM",FOX,2017
,,,,,,,,,,,,,,,,2.0,3.122M,USCCal,Pac-12,"Sept. 23, 4:00 PM",ABC,2017
,,,,,,,,,,,,,,,,1.9,2.993M,AlabamaVanderbilt,SEC,"Sept. 23, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,1.55,2.798M(2.897M),Miss. St.Georgia,SEC,"Sept. 23, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.6,2.611M(2.708M),Texas A&MArkansas,SEC,"Sept. 23, Noon",ESPN,2017
,,,,,,,,,,,,,,,,1.5,2.479M(2.574M),TCUOklahoma St.,Big 12,"Sept. 23, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,1.665M(1.677M),UCLAStanford,Pac-12,"Sept. 23, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,1.645M,College GamedayFrom Times Square,College GamedayFrom Times Square,"Sept. 23, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,0.8,1.288M(1.324M),VirginiaBoise St.,ACCMWC,"Sept. 22, 8:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.7,1.254M,OklahomaBaylor,Big 12,"Sept. 23, 6:30 PM",FS1,2017
,,,,,,,,,,,,,,,,0.65,1.060M,SyracuseLSU,ACCSEC,"Sept. 23, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.6,1.049M,WashingtonColorado,Pac-12,"Sept. 23, 10:30 PM",FS1,2017
,,,,,,,,,,,,,,,,0.65,992K,TempleUSF,American,"Sept. 21, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.5,816K,Bos. CollegeClemson,ACC,"Sept. 23, 4:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,0.35,581K,UtahArizona,Pac-12,"Sept. 22, 10:30 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,503K,AuburnMissouri,SEC,"Sept. 23, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,493K,W. VirginiaKansas,Big 12,"Sept. 23, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,0.30,455K,HawaiiWyoming,MWC,"Sept. 23, 10:40 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,436K,DukeUNC,ACC,"Sept. 23, 3:45 PM",ESPNU,2017
,,,,,,,,,,,,,,,,0.26,371K,ABC reverse mirror,ABC reverse mirror,"Sept. 23, 4:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,247K,UCFMaryland,AmericanBig Ten,"Sept. 23, 3:00 PM",FS1,2017
,,,,,,,,,,,,,,,,n.a.,84K,ECUUConn,American,"Sept. 24, Noon",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,5K,UABN. Texas,C-USA,"Sept. 23, 6:30 PM",beIN,2017
,,,,,,,,,,,,,,,,WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,WEEK THREE,2017
,,,,,,,,,,,,,,,,3.2,5.133M,TennesseeFlorida,SEC,"Sept. 16, 3:30 PM",CBS,2017
,,,,,,,,,,,,,,,,3.0,5.064M(5.206M),ClemsonLouisville,ACC,"Sept. 16, 8:00 PM",ABC,2017
,,,,,,,,,,,,,,,,2.9,4.912M(4.953M),TexasUSC,Big 12Pac-12,"Sept. 16, 8:40 PM",FOX,2017
,,,,,,,,,,,,,,,,2.2,3.238M,UCLAMemphis,Pac-12American,"Sept. 16, Noon",ABC,2017
,,,,,,,,,,,,,,,,1.5,2.506M,ArmyOhio State,Ind.Big Ten,"Sept. 16, 4:40 PM",FOX,2017
,,,,,,,,,,,,,,,,1.5,2.498M(2.581M),LSUMiss. St.,SEC,"Sept. 16, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,1.5,2.274M,WisconsinBYU,Big TenInd.,"Sept. 16, 4:00 PM",ABC,2017
,,,,,,,,,,,,,,,,1.1,1.779M(1.845M),Notre DameBoston College,Ind.ACC,"Sept. 16, 3:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,1.727M,College GamedayFrom Clemson-Louisville,College GamedayFrom Clemson-Louisville,"Sept. 16, 9:00 AM",ESPN,2017
,,,,,,,,,,,,,,,,1.0,1.613M(1.653M),Colorado St.Alabama,MWCSEC,"Sept. 16, 7:00 PM",ESPN2,2017
,,,,,,,,,,,,,,,,1.0,1.566M(1.621M),Oklahoma St.Pittsburgh,Big 12ACC,"Sept. 16, Noon",ESPN,2017
,,,,,,,,,,,,,,,,0.9,1.369M,IllinoisUSF,Big TenAmerican,"Sept. 15, 7:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.8,1.195M,MississippiCal,SECPac-12,"Sept. 16, 10:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.7,1.053M,Boise StateNew Mexico,MWC,"Sept. 14, 8:00 PM",ESPN,2017
,,,,,,,,,,,,,,,,n.a.,829K,ArizonaUTEP,Pac-12C-USA,"Sept. 16, 7:30 PM",ESPN,2017
,,,,,,,,,,,,,,,,0.49,808K,N. IllinoisNebraska,MACBig Ten,"Sept. 16, Noon",FS1,2017
,,,,,,,,,,,,,,,,0.39,669K,No. TexasIowa,C-USABig Ten,"Sept. 16, 3:30 PM",ESPN2,2017
,,,,,,,,,,,,,,,,n.a.,415K,K-StateVanderbilt,Big 12SEC,"Sept. 16, 7:30 PM",ESPNU,2017
,,,,,,,,,,,,,,,,n.a.,372K,SMUTCU,AmericanBig-12,"Sept. 16, 3:30 PM",ESPNU,2017
