Year,Team,Win,Loss,PF,PA,PD,AvgPF,AvgPA,Attendance
2006,New Mexico,3,5,222,153,69,27.75,19.125,29317.75
2006,Northern Illinois,4,2,189,110,79,31.5,18.3333333333333,20770.5
2006,Northwestern,2,4,116,182,-66,19.3333333333333,30.3333333333333,27995.5
2006,Notre Dame,6,1,234,147,87,33.4285714285714,21,80795
2006,Ohio,4,1,207,38,169,41.4,7.6,16724.4
2006,Oklahoma,5,0,178,49,129,35.6,9.8,84410.6
2006,Ole Miss,2,3,185,69,116,37,13.8,54246.8
2006,Oregon State,5,2,275,130,145,39.2857142857143,18.5714285714286,40829.7142857143
2006,Penn State,6,1,204,68,136,29.1428571428571,9.71428571428571,107567.285714286
2006,Rutgers,6,0,203,59,144,33.8333333333333,9.83333333333333,41536.3333333333
2006,San Diego State,3,3,171,83,88,28.5,13.8333333333333,29227.3333333333
2006,SMU,2,4,233,125,108,38.8333333333333,20.8333333333333,18292
2006,Southern Miss,5,1,197,91,106,32.8333333333333,15.1666666666667,28993.8333333333
2006,Syracuse,3,3,131,131,0,21.8333333333333,21.8333333333333,37262.8333333333
2006,Texas A&M,4,3,226,119,107,32.2857142857143,17,75984.8571428572
2006,Toledo,4,2,181,141,40,30.1666666666667,23.5,20310.5
2006,UCF,2,5,211,146,65,30.1428571428571,20.8571428571429,31568.5714285714
2006,UCLA,6,1,168,86,82,24,12.2857142857143,64954.7142857143
2006,UMass,6,0,197,62,135,32.8333333333333,10.3333333333333,11318.8333333333
2006,USC,5,0,156,84,72,31.2,16.8,91376
2006,UTEP,2,3,153,172,-19,30.6,34.4,43746.4
2006,Virginia,4,2,103,71,32,17.1666666666667,11.8333333333333,57731.5
2006,Washington,3,3,157,121,36,26.1666666666667,20.1666666666667,57482.8333333333
2006,West Virginia,5,1,240,131,109,40,21.8333333333333,58388.5
2006,Wisconsin,7,0,215,61,154,30.7142857142857,8.71428571428571,81368
2007,Alabama,4,3,235,173,62,33.5714285714286,24.7142857142857,92138
2007,Arizona,4,2,208,145,63,34.6666666666667,24.1666666666667,52160.5
2007,Arkansas,6,2,405,,,50.625,,66032.5
2007,Arkansas State,5,1,217,,,36.1666666666667,,17039.5
2007,Ball State,3,2,176,118,58,35.2,23.6,13084.8
2007,Baylor,2,4,196,171,25,32.6666666666667,28.5,34381
2007,Boise State,6,0,287,111,176,47.8333333333333,18.5,30280.8333333333
2007,Boston College,6,1,236,141,95,33.7142857142857,20.1428571428571,41989.5714285714
2007,Buffalo,3,2,138,118,20,27.6,23.6,13568.4
2007,BYU,6,0,172,68,104,28.6666666666667,11.3333333333333,64496.6666666667
2007,California,4,2,197,142,55,32.8333333333333,23.6666666666667,63136
2007,Clemson,5,2,265,139,126,37.8571428571429,19.8571428571429,81334.5714285715
2007,Colorado,2,3,154,104,50,30.8,20.8,50329.6
2007,Florida State,4,1,139,93,46,27.8,18.6,80597.4
2007,Georgia Tech,4,3,202,114,88,28.8571428571429,16.2857142857143,50279.8571428572
2007,Hawaii,7,0,342,151,191,48.8571428571429,21.5714285714286,43514.2857142857
2007,Illinois,5,1,165,112,53,27.5,18.6666666666667,54938.1666666667
2007,Indiana,5,2,246,158,88,35.1428571428571,22.5714285714286,37003.5714285714
2007,Iowa State,3,4,210,121,89,30,17.2857142857143,49461.8571428572
2007,Kansas,7,0,393,79,314,56.1428571428572,11.2857142857143,46784.4285714286
2007,Kansas State,4,2,249,136,113,41.5,22.6666666666667,47382.6666666667
2007,Kent State,1,4,126,129,-3,25.2,25.8,8998.8
2007,Louisiana,1,5,152,202,-50,25.3333333333333,33.6666666666667,16650.6666666667
2007,Louisiana Tech,3,2,,,,,,18562.4
2007,Marshall,3,3,188,196,-8,31.3333333333333,32.6666666666667,30020
2007,Memphis,4,3,272,176,96,38.8571428571429,25.1428571428571,29669.7142857143
2007,Miami (OH),4,1,175,,,35,,16186.2
2007,Michigan State,5,2,252,182,70,36,26,70539.8571428572
2007,Middle Tennessee,2,3,136,90,46,27.2,18,18530
2007,Missouri,6,0,254,111,143,42.3333333333333,18.5,60232.1666666667
2007,NC State,3,4,,,,,,56356.1428571429
2007,Nebraska,4,3,260,228,32,37.1428571428572,32.5714285714286,84500.8571428572
2007,Nevada,4,2,232,145,87,38.6666666666667,24.1666666666667,17087.3333333333
2007,New Mexico,6,1,236,125,111,33.7142857142857,17.8571428571429,29818.4285714286
2007,Northern Illinois,1,4,111,119,-8,22.2,23.8,17863.8
2007,Northwestern,4,3,190,183,7,27.1428571428571,26.1428571428571,24589.2857142857
2007,Notre Dame,1,6,195,,,27.8571428571429,,80795
2007,Ohio,4,2,203,159,44,33.8333333333333,26.5,16500.3333333333
2007,Oklahoma,7,0,368,109,259,52.5714285714286,15.5714285714286,84857.8571428572
2007,Ole Miss,2,3,195,103,92,39,20.6,45404.2
2007,Oregon State,5,1,182,102,80,30.3333333333333,17,41374
2007,Penn State,6,1,243,104,139,34.7142857142857,14.8571428571429,108891.285714286
2007,Rutgers,5,3,268,133,135,33.5,16.625,43663.25
2007,San Diego State,2,4,179,206,-27,29.8333333333333,34.3333333333333,27939.5
2007,SMU,2,4,233,125,108,38.8333333333333,20.8333333333333,18292
2007,Southern Miss,3,3,,,,,,26720.6666666667
2007,Syracuse,1,6,289,113,176,41.2857142857143,16.1428571428571,35009.1428571429
2007,Texas A&M,6,1,246,148,98,35.1428571428571,21.1428571428571,82207.1428571429
2007,Toledo,5,2,288,252,36,41.1428571428572,36,18667.8571428571
2007,Troy,4,1,,,,,,20479.4
2007,UCF,5,1,252,130,122,42,21.6666666666667,44000.1666666667
2007,UCLA,4,2,199,93,106,33.1666666666667,15.5,76378.5
2007,UMass,5,0,159,81,78,31.8,16.2,13007
2007,USC,5,1,176,71,105,29.3333333333333,11.8333333333333,87475.8333333333
2007,UTEP,3,3,213,200,13,35.5,33.3333333333333,36568.5
2007,Virginia,5,0,130,82,48,26,16.4,59446.6
2007,Washington,2,4,175,183,-8,29.1666666666667,30.5,67940.5
2007,West Virginia,5,1,343,99,244,57.1666666666667,16.5,60399.8333333333
2007,Wisconsin,7,0,255,126,129,36.4285714285714,18,81746.7142857143
2008,Alabama,7,0,205,54,151,29.2857142857143,7.71428571428571,92138
2008,Arizona,5,2,259,103,156,37,14.7142857142857,52440
