Team,W.L,FPI,RK,Year
,,,,
Oklahoma Sooners,9-2,24.3,4,2020
Texas Longhorns,7-3,19.5,6,2020
Iowa State Cyclones,9-3,17.9,10,2020
Oklahoma State Cowboys,8-3,14.4,15,2020
TCU Horned Frogs,6-4,12.2,21,2020
West Virginia Mountaineers,6-4,7.4,31,2020
Baylor Bears,2-7,4.7,47,2020
Kansas State Wildcats,4-6,2.9,55,2020
Texas Tech Red Raiders,4-6,0.4,70,2020
Kansas Jayhawks,0-9,-15.2,117,2020
Oklahoma Sooners,12-2,19.9,13,2019
Baylor Bears,11-3,14.1,17,2019
Texas Longhorns,8-5,13.0,20,2019
Iowa State Cyclones,7-6,11.0,22,2019
Oklahoma State Cowboys,8-5,8.8,26,2019
Kansas State Wildcats,8-5,7.8,34,2019
TCU Horned Frogs,5-7,7.3,37,2019
Texas Tech Red Raiders,4-8,2.0,56,2019
West Virginia Mountaineers,5-7,-1.5,68,2019
Kansas Jayhawks,3-9,-9.7,106,2019
Oklahoma Sooners,12-2,21.3,5,2018
West Virginia Mountaineers,8-4,15.1,15,2018
Texas Longhorns,10-4,13.5,19,2018
Oklahoma State Cowboys,7-6,10.3,30,2018
Texas Tech Red Raiders,5-7,9.1,34,2018
Iowa State Cyclones,8-5,7.5,38,2018
TCU Horned Frogs,7-6,6.0,47,2018
Baylor Bears,7-6,2.5,61,2018
Kansas State Wildcats,5-7,2.0,62,2018
Kansas Jayhawks,3-9,-3.2,80,2018
Oklahoma Sooners,12-2,22.3,6,2017
Oklahoma State Cowboys,10-3,17.0,11,2017
TCU Horned Frogs,11-3,16.8,12,2017
Texas Longhorns,7-6,10.6,25,2017
Iowa State Cyclones,8-5,10.0,26,2017
Kansas State Wildcats,8-5,8.9,29,2017
Texas Tech Red Raiders,6-7,5.6,42,2017
West Virginia Mountaineers,7-6,4.7,46,2017
Baylor Bears,1-11,-4.3,81,2017
Kansas Jayhawks,1-11,-16.6,119,2017
Oklahoma Sooners,11-2,22.5,7,2016
Oklahoma State Cowboys,10-3,17.1,15,2016
West Virginia Mountaineers,10-3,13.5,24,2016
Kansas State Wildcats,9-4,12.1,27,2016
TCU Horned Frogs,6-7,9.6,34,2016
Baylor Bears,7-6,8.9,39,2016
Texas Longhorns,5-7,7.8,44,2016
Texas Tech Red Raiders,5-7,4.7,53,2016
Iowa State Cyclones,3-9,1.1,66,2016
Kansas Jayhawks,2-10,-9.8,104,2016
Oklahoma Sooners,11-2,26.2,2,2015
Baylor Bears,10-3,21.8,6,2015
TCU Horned Frogs,11-2,20.5,10,2015
West Virginia Mountaineers,8-5,14.4,22,2015
Oklahoma State Cowboys,10-3,14.2,24,2015
Texas Tech Red Raiders,7-6,8.8,42,2015
Texas Longhorns,5-7,6.7,50,2015
Kansas State Wildcats,6-7,5.2,60,2015
Iowa State Cyclones,3-9,0.6,79,2015
Kansas Jayhawks,0-12,-18.9,124,2015
TCU Horned Frogs,12-1,26.1,3,2014
Baylor Bears,11-2,23.9,6,2014
Oklahoma Sooners,8-5,18.9,16,2014
Kansas State Wildcats,9-4,17.3,18,2014
West Virginia Mountaineers,7-6,12.1,32,2014
Texas Longhorns,6-7,8.8,38,2014
Oklahoma State Cowboys,7-6,6.5,48,2014
Texas Tech Red Raiders,4-8,2.1,64,2014
Iowa State Cyclones,2-10,-3.9,85,2014
Kansas Jayhawks,3-9,-6.5,91,2014
Baylor Bears,11-2,25.5,4,2013
Oklahoma State Cowboys,10-3,22.4,6,2013
Oklahoma Sooners,11-2,18.3,19,2013
Texas Longhorns,8-5,14.8,23,2013
Kansas State Wildcats,8-5,14.3,24,2013
Texas Tech Red Raiders,8-5,9.5,39,2013
TCU Horned Frogs,4-8,8.7,44,2013
West Virginia Mountaineers,4-8,-0.1,69,2013
Iowa State Cyclones,3-9,-2.7,74,2013
Kansas Jayhawks,3-9,-10.1,104,2013
Oklahoma Sooners,10-3,21.7,6,2012
Oklahoma State Cowboys,8-5,20.6,8,2012
Kansas State Wildcats,11-2,20.3,9,2012
Texas Longhorns,9-4,15.6,18,2012
Baylor Bears,8-5,15.1,19,2012
TCU Horned Frogs,7-6,11.1,25,2012
Texas Tech Red Raiders,8-5,10.3,30,2012
West Virginia Mountaineers,7-6,7.9,42,2012
Iowa State Cyclones,6-7,5.2,55,2012
Kansas Jayhawks,1-11,-6.8,94,2012
Oklahoma State Cowboys,12-1,27.0,3,2011
Oklahoma Sooners,10-3,23.8,6,2011
Texas A&M Aggies,7-6,17.5,11,2011
Missouri Tigers,8-5,15.3,16,2011
Texas Longhorns,8-5,12.5,21,2011
Baylor Bears,10-3,12.0,22,2011
Kansas State Wildcats,10-3,8.2,35,2011
Texas Tech Red Raiders,5-7,2.8,56,2011
Iowa State Cyclones,6-7,-0.5,74,2011
Kansas Jayhawks,2-10,-9.4,100,2011
Oklahoma Sooners,12-2,21.1,8,2010
Oklahoma State Cowboys,11-2,17.6,12,2010
Missouri Tigers,10-3,16.2,16,2010
Nebraska Cornhuskers,10-4,15.7,18,2010
Texas A&M Aggies,9-4,13.8,19,2010
Texas Longhorns,5-7,6.2,44,2010
Texas Tech Red Raiders,8-5,5.2,50,2010
Kansas State Wildcats,7-6,4.0,55,2010
Baylor Bears,7-6,3.2,60,2010
Colorado Buffaloes,5-7,0.5,67,2010
Iowa State Cyclones,5-7,-2.0,72,2010
Kansas Jayhawks,3-9,-11.5,101,2010
Texas Longhorns,13-1,27.4,2,2009
Oklahoma Sooners,8-5,22.7,4,2009
Nebraska Cornhuskers,10-4,16.1,11,2009
Texas Tech Red Raiders,9-4,14.4,16,2009
Oklahoma State Cowboys,9-4,10.6,28,2009
Missouri Tigers,8-5,7.0,42,2009
Kansas Jayhawks,5-7,6.7,45,2009
Texas A&M Aggies,6-7,4.8,52,2009
Kansas State Wildcats,6-6,1.0,64,2009
Baylor Bears,4-8,0.6,66,2009
Iowa State Cyclones,7-6,-0.6,73,2009
Colorado Buffaloes,3-9,-1.6,77,2009
Oklahoma Sooners,12-2,29.7,3,2008
Texas Longhorns,12-1,26.4,4,2008
Texas Tech Red Raiders,11-2,18.9,7,2008
Missouri Tigers,10-4,17.6,10,2008
Oklahoma State Cowboys,9-4,14.9,15,2008
Kansas Jayhawks,8-5,11.2,25,2008
Nebraska Cornhuskers,9-4,8.5,32,2008
Baylor Bears,4-8,1.9,57,2008
Kansas State Wildcats,5-7,0.9,63,2008
Colorado Buffaloes,5-7,-1.1,71,2008
Texas A&M Aggies,4-8,-4.0,81,2008
Iowa State Cyclones,2-10,-5.4,84,2008
Oklahoma Sooners,11-3,24.1,1,2007
Missouri Tigers,12-2,20.0,6,2007
Kansas Jayhawks,12-1,18.9,9,2007
Texas Longhorns,10-3,16.0,11,2007
Texas Tech Red Raiders,9-4,13.9,15,2007
Oklahoma State Cowboys,7-6,11.2,25,2007
Texas A&M Aggies,7-6,8.9,37,2007
Kansas State Wildcats,5-7,6.4,46,2007
Nebraska Cornhuskers,5-7,4.1,52,2007
Colorado Buffaloes,6-7,3.3,55,2007
Iowa State Cyclones,3-9,-7.4,86,2007
Baylor Bears,3-9,-12.1,102,2007
Texas Longhorns,10-3,21.6,4,2006
Oklahoma Sooners,11-3,16.9,11,2006
Nebraska Cornhuskers,9-5,14.4,13,2006
Texas Tech Red Raiders,8-5,11.5,25,2006
Missouri Tigers,8-5,10.5,29,2006
Texas A&M Aggies,9-4,10.4,30,2006
Oklahoma State Cowboys,7-6,9.8,34,2006
Kansas State Wildcats,7-6,2.6,57,2006
Kansas Jayhawks,6-6,2.4,58,2006
Colorado Buffaloes,2-10,-2.8,71,2006
Iowa State Cyclones,4-8,-3.4,76,2006
Baylor Bears,4-8,-4.5,82,2006
Texas Longhorns,13-0,33.6,1,2005
Texas Tech Red Raiders,9-3,16.7,12,2005
Oklahoma Sooners,8-4,11.2,26,2005
Texas A&M Aggies,5-6,9.8,31,2005
Iowa State Cyclones,7-5,9.3,32,2005
