Team,Year,W,L,FPI,Conference,PD,Attendance,capacity
Illinois,2017,3,9,-1.45948813962877,Big10,-1.09351797150606,39416.1428571429,60670
Nebraska,2017,5,7,-0.479696522809546,Big10,-1.24120045755846,89797.5714285714,87091
Rutgers,2017,5,7,-1.0987838103127,Big10,-0.440141075633085,39784.8571428571,52454
Indiana,2017,5,7,-0.476687070717517,Big10,-0.251173221435305,43952.5,52959
Michigan State,2017,10,3,-0.0330078480069248,Big10,-0.164905287997187,72485.4285714286,75005
Penn State,2017,10,3,0.90886467245273,Big10,1.011419604384,106020.5,106572
Wisconsin,2017,12,2,0.936895569081345,Big10,1.06749376111877,78823.7142857143,80321
